视频-李宇春入选2020倍耐力年历 感受当代朱丽叶,
图集-李宇春入选2020倍耐力年历,
视频-“车王”舒马赫夺冠赛车亮相拍卖会,
官宣：FE电动方程式将纳入FIA世界锦标赛体系,今日，国际汽联（FIA）在巴黎总部宣布，FE电动方程式锦标赛将从下个赛季（2020-2021赛季）起正式纳入国际汽联世界锦标赛体系。国际汽联主席托德（Jean Todt）说：“FE电动方程式的创立和发展是一次伟大的冒险。“我很自豪今天我们确认了它的国际汽联世界锦标赛的地位。“自从我们开始这段旅程以来，FE电动方程式毫无疑问已经变得越来越强大。在很短的时间内，该系列已证明与汽车行业相关，另外两家主要汽车制造商已在本季初加入该系列。”梅赛德斯和保时捷今年首次进入冠军行列，与奥迪、DS、捷豹、日产、宝马、NIO、彭斯克和马欣德拉联手。托德说：“这些制造商和他们各自的车队的承诺和专业精神反映在车手名册的质量上，而车手名册的质量每季都在提高。”“自从2014年在北京举行第一场比赛以及此后的每一场EPrix比赛以来，FE电动方程式已经证明了尖端电动赛车的概念是有效的。我衷心欢迎FE电动方程式成为最新的国际汽联世界锦标赛。”（新浪赛车）
图集-F1阿布扎比季后试车第1日,
奥康因身高问题错过F1阿布扎比大奖赛,已经正式代表雷诺车队出赛的法国车手奥康透露，他本来可以顶替拉塞尔参加阿布扎比大奖赛，但由于身高太高做不进拉塞尔赛车的座舱告吹。拉塞尔在最后一场大奖赛之前遇到了个人问题，威廉姆斯车队找到了奥康。“乔治生病了，我是唯一能够顶替他的人，”奥康对法国《费加罗报》表示，“但我无法坐进那台赛车，这肯定不可能。奥康的身高达到了1米86。”奥康认为，他的身高在F1中是个问题，但这种情况将在2021年得到改善。“座舱的宽度不会变，但腿部的长度会增加，这对我来说是个好消息。”（考拉）
F1评论员抨击威队只认钱：带钱就可以开一天,阿布扎比大奖赛结束之后，F1车队将参加为期两天的倍耐力2020款轮胎测试，但这两天却被威廉姆斯车队分配给三位车手：明年的正牌车手拉塞尔和拉提菲各获得半天的测试，以色列车手罗伊-尼萨则有一个完整的测试日。一位F1评论员对威廉姆斯车队的这种安排进行了吐槽，“拉塞尔只完成了一个赛季，拉提菲则只有六次周五的练习赛机会，但他们却只获得了半天的试车，因为尼萨带来了钱，”阿莱克西-波波夫评论到，他现在担任MatchTV的解说嘉宾，“他们疯了吗？他们的上一个世界冠军是雅克-维伦纽夫，却被威廉姆斯车队的motohome拒之门外，只是因为他说了实话？”确实，维伦纽夫经常批评威廉姆斯车队近年来的运营方式。“你们到底是车队还是做生意？”波波夫问到。“迈凯伦也在做大生意，生产很多民用车。他们可能没有达到法拉利或者保时捷的程度，但他们走在正确的道路上。威廉姆斯似乎并不清楚自己在做什么。他们在卡塔尔出售工程服务，然后每年公布财报，说自己处在困境中。好吧，钱其实被分割掉了，就这么简单，”波波夫说。波波夫甚至对威廉姆斯签下拉提菲提出了批评，这位加拿大车手的老爸是一位亿万富翁，也是迈凯伦车队的股东，迈克尔-拉提菲。“我并不是针对拉提菲，”他说，“他可能是一个好小子，但他在F2待了四年，没有拿过冠军，最后还差点丢了第二名。”（考拉）
罗斯伯格谈汉密尔顿转会法拉利可能性,前F1世界冠军尼克-罗斯伯格认为：汉密尔顿很可能在2020年之后做出改变。“法拉利显然是一支传奇的车队，刘易斯已经在梅赛德斯赢得了很多冠军头衔，接下来唯一合乎逻辑的就是代表法拉利赢得冠军。”罗斯伯格还表示：汉密尔顿要视明年法拉利的表现而定，如果有一部能够争冠的赛车，那么前往法拉利对汉密尔顿来说，唯一的问题就是薪水了。“我相信他会考虑的，这取决于法拉利能付给他的薪水，以及下赛季他们的表现是否足够好。我认为可能性是存在的。”（新浪赛车）
大众宣布停止研发燃油赛车 为电动赛车让路,作为传统汽车公司，大众在赛车领域也颇有建树，旗下的奥迪、保时捷、捷克斯柯达等车型在赛车场上创下了优秀的成绩，但是最近大众却宣布停止开发活塞驱动赛车，为电动汽车业务让路。这样的变动意味着如高尔夫GTI TCR等优秀车型将会逐渐消失，为更新的、电动驱动的赛车腾出空间来。对于高尔夫GTI TCR的退休，我们早已预料，但是我们没想到的是活塞驱动赛车的淘汰。现款的高尔夫GTI TCR将于2019年年底退休，它是由旧款第七代的高尔夫车型改装而来的，但是大众早已宣布了第八代高尔夫不会被改装为新的赛车，我们最初认为会是新车型来接替这个位置，却没想到会是一辆电动汽车。虽然对于活塞驱动赛车的开发逐渐停止，但是对于现有车型的维护却不会停止，大众依然会在其德国汉诺威工厂为其客户建造Polo GTI R5和可更换配件。来自于大众的汽车技术开发董事会成员弗兰克·韦尔希表示，接替大众赛车位置的是全新ID.R车型。虽然我们不会在短期内看到成品车型的出现，不过由于大众目前电动汽车技术的成熟以及MEB平台的逐渐完善，相信这并不会花费太长的时间。同时为了弥补ID.R车型和现款赛车之间的差距，韦尔希表示大众正在开发第二个品牌支柱，虽然更多的细节尚未公布，但是相信为了不丢掉大众赛车现有的荣誉，这辆新车在性能上不会让人失望。这也证明了大众MEB平台的灵活性。这个灵活的架构，无论是掀背车或是SUV都能在这个平台上很好的打造，而且还能在这个基础之上延伸出更多的车型。虽然大众停止了对燃油赛车的开发，但是对于普通车型的开发依然会继续，同时第八代的高尔夫车型会带上GTI和R的标志，满足那些对于高性能燃油车的消费者需求。电动汽车已经成为了大众汽车的主要项目，一些不重要的东西都需要为其让步。在如此之大的资源加持之下，加上成熟的MEB平台支持，相信大众带来的电动汽车不会让消费者们失望。虽然燃油赛车的淘汰让我们失去了一部分比赛乐趣，但是电动汽车的加入会让我们见识到更快速度记录的诞生，而这也是赛车场上注定的潮流。（本文来自于盖世汽车网）
戴姆勒计划到2022年底至少裁员10000人,（新浪汽车 11月29日讯）据彭博社报道，戴姆勒计划到2022年底在全球裁员逾10000人，以提振因大举投资电动汽车和自动驾驶汽车而受到挤压的利润率。戴姆勒在一份声明中表示，这次裁员规模相当于至少其全球员工总数的3.3%，将在2022年底前完成。这是公司将人员支出削减14亿欧元努力的一部分。该公司计划扩大提前退休计划，并提供买断，并减少在德国的管理人员。戴姆勒人事主管威尔弗里德•波思（Wilfried Porth）在电话会议上告诉记者，全球范围内裁员总数处于“五位数”，其中包括削减10%的管理职位。而与劳工委员会达成的排除2029年强制裁员的协议仍然有效。戴姆勒裁员早有计划。10月，该公司新任首席执行官康林松（Ola Kaellenius）在第三季度财报电话会议上表示，“为了在未来几年把控转型，需要加大努力，因此必须大幅降低成本，持续增强现金流。”当时他没有详细说明具体的成本削减计划。本月早些时候，康林松（Ola Kallenius）再警告称，未来两年的销售回报率可能依然低迷。梅赛德斯-奔驰部门2020年的运营回报率目标至少为4%的目标令投资者失望，这一回报率不到标致雪铁龙集团（PSA ）今年上半年的一半。戴姆勒预计，奔驰2019年的息税前利润率（EBIT）将会降至3%至5%。随着全球汽车需求疲软，戴姆勒别无选择，只能削减成本，将奔驰的利润率恢复到8%至10%的长期水平。但实现这一利润目标将是漫长的。戴姆勒集团为奔驰设定的2022年销售回报率目标是6%。戴姆勒今年前两个季度开局不利，利润呈现两位数下滑，但到了第三季度才略有好转。在刚刚过去的第三季度，尽管戴姆勒营业利润小幅上升，息税前利润（EBIT）增长8%至26.9亿欧元，高于上年同期的24.9亿欧元，这主要是受到奔驰销售增长8%的提振。然而，尽管本季度乘用车销量增长了8%，但梅赛德斯-奔驰汽车的销售回报率却从上年同期的6.3%降至6%。第二季度，戴姆勒营业收入为426.5亿欧元，同比增长5%，息税前亏损15.6亿欧元，去年同期利润为26亿欧。这是时隔九年后，戴姆勒集团首次出现季度亏损。梅赛德斯-奔驰的汽车销售回报率从2018年同期的8.4%跌至今年的-3%。在该季度，奔驰柴油车排放造假问题使得戴姆勒损失了10.7亿欧元。同时，戴姆勒将柴油车的法律和政府诉讼费用成本拨备提高了16亿欧元。第一季度，戴姆勒营收为397亿欧元，较去年同期的398亿欧元有小幅下降；息税前利润降至28亿欧元，低于分析师预计的28.9亿欧元，营业利润为21亿欧元同比下降16%。梅赛德斯-奔驰第一季度利润率由去年的9%下降至6.1%销量下降4%。总体上，戴姆勒最盈利的业务梅赛德斯-奔驰部门的利润率在连续三个季度下滑。11月14日，戴姆勒已经宣布，计划削减梅赛德斯-奔驰汽车部门的员工数量，以节约成本，实现向自动化和电动化的转型。戴姆勒称，这次裁员的目标是在2022年底之前节省10亿欧元（约合11亿美元）。实际上，早在4月，德国《经理人杂志》（Manager Magazin）就曾报道称，康林松正推动成本节约计划。今年5月22日，戴姆勒集团正式宣布，蔡澈将正式卸任戴姆勒股份公司董事会主席，以及梅赛德斯-奔驰汽车集团全球总裁的职位，现任戴姆勒股份公司董事会成员、负责集团研发及梅赛德斯-奔驰汽车集团研发的康林松将接替蔡澈，任期为五年。当时《经理人杂志》称，康林松计划裁员10000人，从而让戴姆勒和梅赛德斯-奔驰的结构更加精简，并寻求到2021年节省60亿欧元（约合67.5亿美元）的成本，以提高效率BBA全部裁员在全球汽车市场低迷，特别是中国这一最大市场汽车销量持续下滑，以及电动化、自动化需要巨额投资的背景下，各大车企都在寻求“开源节流”的措施。日前，奥迪也宣布，计划于2025年前在德国裁减95，00名员工，相当于员工总数的15%，并精简在德国的两家主要工厂，以节约60亿欧元（约合66亿美元）的成本。宝马则表示，争取在2022年之前节省120多亿欧元（约合132.3亿美元）的成本。该协议包括基于公司利润减少员工奖金以及改变一些员工的圣诞节和其他奖金。这些措施将从2020年起生效。尽管宝马没有宣布具体的裁员信息，但9月份德国《经理人》杂志曾报道，宝马计划到2022年裁员5000至6000人，其中大部分裁员将在德国慕尼黑总部进行。戴姆勒计划减少每周工作时间，并让大多数行政职位的临时工提前退休。但戴姆勒劳资委员会在另一份声明中表示，根据该公司现有的劳资协议条款，明年的加薪计划，仍未受裁员影响。（李树生）
